Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"Lean On Me";"Bill Withers";1972;0;0;2007-05-17;Pop,Rock
"Simple Man";"Lynyrd Skynyrd";1973;0;0;2011-05-30;Rock,Hard/Metal,Country
"Play That Funky Music";"Wild Cherry";1976;0;0;2008-08-25;Funk
"Let It Go";"James Bay";2014;0;0;2015-04-04;Pop,Rock
"Cool For The Summer";"Demi Lovato";2015;0;1;2015-07-28;Pop,Electro,Rock
"I Don't Want To Miss A Thing";Aerosmith;1998;0;0;2011-05-30;"Pop,Rock,TV & movie soundtrack"
"Let's Stay Together";"Al Green";1972;0;0;2008-07-24;Soul
"Chicken Fried";"Zac Brown Band";2005;0;0;2011-05-31;Country
"Amarillo By Morning";"George Strait";1983;0;0;2012-11-19;Country
"Mack The Knife";"Bobby Darin";1959;0;0;2007-05-31;Jazz
"Rock Around The Clock";"Bill Haley & His Comets";1954;0;0;2008-03-07;"Rock 'n Roll,Oldies"
"Strawberry Wine";"Deana Carter";1996;0;0;2011-05-31;Country
"Son Of A Preacher Man";"Dusty Springfield";1969;0;0;2007-05-04;Oldies,Blues
"Flashdance...What A Feeling";"Irene Cara";1983;0;0;2007-05-04;"TV & movie soundtrack,Pop,80s"
"Walking On Sunshine";"Katrina And The Waves";1983;0;0;2007-05-04;Rock,Pop
"Love Shack";"The B-52's";1989;0;0;2012-01-31;80s,Rock,Pop
"Careless Whisper";"George Michael";1984;0;0;2011-05-30;Pop,Love
Conmigo;"Kendji Girac";2015;0;0;2015-06-08;"French pop,R&B,Latin"
"Long Legged Woman Dressed In Black";"Shane Owens";2015;0;0;2015-08-20;Country
"Drops Of Jupiter (Tell Me)";Train;2001;0;0;2011-05-31;"Pop,Rock,Soft rock"
"Take Your Time";"Sam Hunt";2014;0;0;2015-04-14;"Pop,Soft rock"
"Diamond Rings and Old Barstools";"Tim McGraw";2014;0;0;2015-05-12;"Country,Soft rock"
"La vie en rose";"Edith Piaf";1942;0;0;2012-01-18;"French pop"
"That's Amore";"Dean Martin";1953;0;0;2007-06-18;Oldies,Pop
Hallelujah;"Jeff Buckley";1994;0;0;2008-03-17;Folk
"In The Ghetto";"Elvis Presley";1969;0;0;2007-08-14;Oldies,Rock
"If Tomorrow Never Comes";"Garth Brooks";1989;0;0;2007-05-31;Country
Faithfully;Journey;1983;0;0;2011-05-31;"Pop,Soft rock"
"Killing Me Softly With His Song";"Roberta Flack";1973;0;0;2008-02-12;Soul,Love
"Mes emmerdes";"Charles Aznavour";1976;0;0;2012-01-04;"French pop"
"Just The Way You Are";"Bruno Mars";2010;0;0;2011-05-31;Pop
"Whiskey Lullaby";"Brad Paisley";2003;0;0;2007-05-04;Country
"Don't Go Breaking My Heart";"Elton John";1976;1;0;2011-12-27;Pop,Disco,Duet
"Honky Tonk Blues";"Miranda Lambert";2003;0;0;2015-08-24;Country,Folk,Rock,Pop
"Hold My Hand";"Jess Glynne";2015;0;0;2015-04-21;Pop,Dance,Electro
"Neon Moon";"Brooks & Dunn";1991;0;0;2011-05-31;Country
"I Love This Bar";"Toby Keith";2003;0;0;2011-11-14;Country
"The Star-Spangled Banner";"National Anthem";1814;0;0;2008-06-26;Traditionnal
"Somewhere Over The Rainbow";"Judy Garland";1939;0;0;2011-05-31;"Musical,TV & movie soundtrack"
"Dernière danse";Indila;2013;0;0;2014-03-10;"French pop,R&B"
"I Want To Break Free";Queen;1984;0;0;2011-05-30;Pop,Rock
"How Great Thou Art";"Carrie Underwood";2008;0;0;2011-06-28;Christian,Country
"My Favorite Things";"The Sound Of Music";1959;0;0;2011-05-30;"Musical,TV & movie soundtrack,Oldies"
"It's Not Unusual";"Tom Jones";1965;0;0;2007-06-27;Pop,Soul,Rock,Oldies
"Over The Rainbow";"Josh Groban";2015;0;0;2015-08-03;Musical,Folk
"Build Me Up Buttercup";"The Foundations";1968;0;0;2007-05-04;"Rock,Oldies,TV & movie soundtrack"
"Make Me Smile";Chicago;1970;0;0;2015-08-28;"Soft rock,Pop,Rock"
"Mon mec à moi";"Patricia Kaas";1988;0;0;2013-05-16;"French pop"
